OMICS_ICL103_Mock_12hr_Protein_1_092,OMICS_ICL103_Mock_12hr_Protein_2_096,OMICS_ICL103_Mock_12hr_Protein_3_110,OMICS_ICL103_Mock_12hr_Protein_4_002,OMICS_ICL103_Mock_12hr_Protein_5_118,OMICS_ICL103_VN1203_12hr_Protein_1_112,OMICS_ICL103_VN1203_12hr_Protein_2_015,OMICS_ICL103_VN1203_12hr_Protein_3_114,OMICS_ICL103_VN1203_12hr_Protein_4_100,OMICS_ICL103_VN1203_12hr_Protein_5_065
YWHAB,28.145625369299907,28.11885890594137,28.56269219860427,28.56888213673529,28.290152947989643,28.46276482910797,28.40174140308113,28.329707791392376,28.403129470245382,28.75002462615571
YWHAE,26.35216177002861,26.11393899227801,26.445303471016977,26.35678548933534,26.96041274993115,26.62615925828304,26.20221996669163,26.698116485327834,26.196848415554435,26.85600850909735
YWHAH,26.32746066246189,26.282340435956353,26.240830576006047,26.58978499070202,25.96735906498477,26.555954569547524,26.516536866075835,26.462680771549422,26.146135338951705,26.66062771083018
YWHAG,23.793946809368087,23.72789003786003,23.610404296337997,24.111887911425036,24.123153834833754,24.50403632800525,25.354676482823038,23.84571344826464,24.79391451011725,24.420544378344548
SFN,28.234775536488502,28.369824680199283,28.602520376780966,28.48249987891742,28.38355240887808,28.640984693800625,28.469048928378985,28.397567162909485,28.411736198262588,28.479401840265655
YWHAQ,28.358847687948753,28.20923365253934,28.546214227122828,28.251740250582394,28.4269532548811,28.483690690330217,28.21489049393668,28.371999678422185,28.693074831822372,28.60066016588259
YWHAZ,28.159583281104588,28.34600447578837,28.530902379858347,28.491032673038166,28.35053323099141,28.410208085402616,28.311153772133586,28.394332381520485,28.456221073861336,28.591850931080938
PPP2R5D,21.022308428980715,21.740567241222458,21.36388510056696,21.37769267029039,21.304968671154935,21.437130568546856,22.526828806028917,21.297834600136117,21.67857978208442,20.573899407738974
PPP2R5E,20.62142700914822,21.771311068818346,21.326602766350213,21.37769267029039,20.981815344457942,21.512631649563847,24.50911351516692,20.08798787078346,21.731210777327245,20.820371629388966
PPP2R5C,20.831132976018928,21.135637185008836,20.989229779228317,21.37769267029039,21.17234775979436,21.415243632855898,22.75238194627483,21.39418426010855,21.438839986939872,21.60509586712307
PPP2R1A,22.88589245788082,23.09046345125142,22.86482768259594,22.826651698494985,22.77983794372217,23.13687687939748,23.620066938433254,22.98599450520028,23.00262386562789,23.244054480916276
PPP2R1B,22.608183714142264,22.745334066491196,22.691352266478432,22.926446825192144,22.834297402970876,23.05330720531855,23.218672691370834,22.128593714232586,22.790449122844322,22.693974480790644
PPP2R2A,20.84795402838199,20.4925932312547,20.229153547495756,20.890973981701823,20.482875701581882,20.8949823089713,21.54594233297292,20.258348183109458,20.912590964683634,21.13898699114828
